#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ITPR2	PLCB3	992389	980565	ENSP00000370744	ENSP00000279230	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.228	0.917
ITPR2	TRPC4	992389	992063	ENSP00000370744	ENSP00000369003	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.810	0.923
TRPC3	PLCB3	992050	980565	ENSP00000368966	ENSP00000279230	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.167	0.583
TRPC4	TRPC3	992063	992050	ENSP00000369003	ENSP00000368966	0.000	0.000	0.000	0.880	0.000	0.552	0.900	0.993	0.957
MRVI1	CALM1	997668	988220	ENSP00000414598	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.368
TRPC3	PLCB4	992050	986219	ENSP00000368966	ENSP00000334105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.167	0.167
TRPC4	CALM1	992063	988220	ENSP00000369003	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.714
INPP5A	PLCZ1	989707	979742	ENSP00000357583	ENSP00000266505	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.020	0.899
ITPR2	TRPC3	992389	992050	ENSP00000370744	ENSP00000368966	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.929	0.929
ITPR2	PRKACA	992389	983418	ENSP00000370744	ENSP00000309591	0.000	0.000	0.000	0.000	0.000	0.620	0.800	0.000	0.918
PLCB4	PLCB3	986219	980565	ENSP00000334105	ENSP00000279230	0.000	0.000	0.000	0.892	0.000	0.000	0.900	0.616	0.906
CALM1	PLCB3	988220	980565	ENSP00000349467	ENSP00000279230	0.000	0.000	0.000	0.000	0.000	0.620	0.800	0.159	0.927
ITPR2	CALM1	992389	988220	ENSP00000370744	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.868	0.985
TRPC4	TRPC1	992063	980236	ENSP00000369003	ENSP00000273481	0.000	0.000	0.000	0.922	0.000	0.785	0.900	0.967	0.978
TRPC3	PLCZ1	992050	979742	ENSP00000368966	ENSP00000266505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.167	0.167
PLCB3	PLCZ1	980565	979742	ENSP00000279230	ENSP00000266505	0.000	0.000	0.000	0.846	0.000	0.000	0.900	0.164	0.901
PLCB4	PLCZ1	986219	979742	ENSP00000334105	ENSP00000266505	0.000	0.000	0.000	0.859	0.000	0.000	0.900	0.164	0.901
TRPC3	TRPC1	992050	980236	ENSP00000368966	ENSP00000273481	0.000	0.000	0.000	0.872	0.000	0.913	0.900	0.993	0.991
ITPR2	PLCB4	992389	986219	ENSP00000370744	ENSP00000334105	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.263	0.921
CALM1	PLCB4	988220	986219	ENSP00000349467	ENSP00000334105	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.153	0.819
CALM1	PLCZ1	988220	979742	ENSP00000349467	ENSP00000266505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.454	0.454
MRVI1	ITPR2	997668	992389	ENSP00000414598	ENSP00000370744	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.846	0.967
INPP5A	PLCB4	989707	986219	ENSP00000357583	ENSP00000334105	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.020	0.899
ITPR2	TRPC1	992389	980236	ENSP00000370744	ENSP00000273481	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.895	0.957
ITPR2	PLCZ1	992389	979742	ENSP00000370744	ENSP00000266505	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.352	0.930
CALM1	PRKACA	988220	983418	ENSP00000349467	ENSP00000309591	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.218	0.218
CALM1	TRPC1	988220	980236	ENSP00000349467	ENSP00000273481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.926	0.926
TRPC3	CALM1	992050	988220	ENSP00000368966	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.957	0.982
ITPR2	INPP5A	992389	989707	ENSP00000370744	ENSP00000357583	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.263	0.921
INPP5A	PLCB3	989707	980565	ENSP00000357583	ENSP00000279230	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.020	0.899
