chr	po	Gene	Basal	Her2	LumA	LumB	Normal
1	161575262	NUF2	0.472400168	-0.023819207	-0.712520819	0.589626883	-0.370533365
2	10184655	RRM2	0.156204676	0.682724889	-0.9507602	0.35066384	-1.12105493
3	171262153	GPR160	-1.054974672	0.583194826	0.685489973	0.714407601	-0.423568467
5	68504209	CCNB1	0.191208143	0.135476652	-0.491662114	0.503176358	-0.545269312
6	152259712	ESR1	-2.746513086	-1.513111253	2.161411882	1.605899914	-0.418282349
7	55130225	EGFR	-0.030416849	-0.096382621	0.009162963	-0.412401259	0.341637082
8	128820179	MYC	0.178763812	-1.046832832	-0.090830821	0.015264397	1.029176203
9	33248614	BAG1	-0.574506867	-0.476072868	0.758221161	-0.405458622	0.316552973
10	129799686	MKI67	0.476537448	0.06566236	-0.501871622	-0.145217868	-0.166004063
12	67506912	MDM2	-0.251366205	-0.106728681	0.14195743	-0.133779037	0.274214011
14	37131292	FOXA1	-2.626946721	0.022827151	1.017457421	0.360757795	-0.782812106
16	45285433	ORC6	0.216304797	0.204402449	-0.352220667	0.11062765	-0.255879493
17	35124110	ERBB2	-0.80835398	1.759844231	0.608191264	0.159651874	-0.870238456
18	31952923	SLC39A6	-1.051125052	-0.695736457	2.061459075	1.653303022	0.116889694
19	35000898	CCNE1	0.560271028	0.066872232	-0.430291227	-0.01666143	-0.255476058
20	41753829	MYBL2	0.389893452	0.20526358	-0.843569931	0.46728199	-0.601704754
22	22450769	MMP11	-0.556037672	0.50675876	-0.00625509	0.334199309	-2.326985119
