chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A	TCGA.A2.A0ET.01A	TCGA.A8.A06N.01A	TCGA.A8.A06Y.01A	TCGA.A8.A06Z.01A	TCGA.A8.A081.01A	TCGA.A8.A083.01A	TCGA.A8.A08J.01A	TCGA.A8.A09X.01A	TCGA.AN.A04D.01A	TCGA.AN.A0FJ.01A	TCGA.AN.A0FV.01A	TCGA.AN.A0FZ.01A	TCGA.AO.A0J2.01A	TCGA.AO.A0J3.01A	TCGA.AO.A0J6.01A	TCGA.AO.A0JC.01A	TCGA.AO.A0JI.01A	TCGA.AO.A0JL.01A	TCGA.AO.A124.01A	TCGA.AO.A125.01A	TCGA.AO.A12B.01A	TCGA.AO.A12D.01A	TCGA.AO.A12H.01A	TCGA.AQ.A04L.01B	TCGA.AR.A0TP.01A	TCGA.AR.A0TR.01A	TCGA.AR.A0TV.01A	TCGA.AR.A1AI.01A	TCGA.AR.A1AS.01A	TCGA.B6.A0I2.01A	TCGA.B6.A0IA.01A	TCGA.B6.A0IC.01A	TCGA.B6.A0RL.01A	TCGA.B6.A0RM.01A	TCGA.B6.A0RS.01A	TCGA.B6.A0X4.01A	TCGA.B6.A0X5.01A	TCGA.BH.A0DL.01A	TCGA.BH.A0E0.01A	TCGA.BH.A0EE.01A	TCGA.BH.A0HW.01A	TCGA.BH.A18N.01A	TCGA.C8.A12L.01A	TCGA.C8.A12M.01A	TCGA.C8.A12P.01A	TCGA.C8.A12U.01A	TCGA.C8.A133.01A	TCGA.D8.A13Y.01A	TCGA.D8.A13Z.01A	TCGA.E2.A14Y.01A	TCGA.E2.A158.01A	TCGA.E2.A15K.06A	TCGA.E2.A15R.01A	TCGA.E2.A1B0.01A
1	939246	ISG15	0.148	-0.377	0.118	0.177	0.043	-0.003	-0.366	-0.126	-0.706	0.445	-0.38	-0.054	-0.529	0.152	-0.769	0.539	-0.182	0.081	-0.108	-0.336	-0.471	0.005	-0.638	-0.25	-0.293	-0.101	-0.215	-0.007	0.015	0.125	0.031	-0.021	0.026	0.206	0.016	-0.245	-0.026	0.006	-0.344	-0.061	-0.427	-0.002	-0.055	0.227	0.053	0.183	-0.226	-0.211	-0.385	-0.083	-0.202	0.012	-0.081	-0.639	-0.025	0.007	-0.871	-0.029	0.362	-0.011
1	2533140	MMEL1	0.148	-0.391	0.118	0.177	0.08	-0.003	-0.366	-0.062	-0.706	0.445	-0.38	-0.054	-0.55	0.152	-0.769	0.539	-0.182	0.081	-0.108	-0.361	-0.471	0.005	-0.638	-0.25	-0.293	-0.101	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.026	0.185	0.016	-0.245	-0.026	0.006	-0.344	-0.061	-0.427	-0.002	-0.055	0.227	0.053	0.183	-0.226	-0.211	-0.385	-0.083	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.871	-0.029	0.362	-0.011
1	6446321	TNFRSF25	0.148	-0.391	0.374	0.177	0.08	-0.003	-0.335	-0.062	-0.706	0.445	-0.288	-0.054	-0.43	0.152	-0.715	0.898	-0.182	0.081	-0.138	-0.361	-0.471	0.005	-0.638	-0.25	-0.269	-0.101	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.026	0.006	-2.176	-0.061	-0.427	-0.002	-0.055	0.227	-0.947	0.183	-0.226	-0.211	-0.385	-0.083	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.861	-0.029	-0.758	-0.011
1	7832974	UTS2	0.148	-0.391	0.387	0.177	0.08	-0.003	-0.335	-0.062	-0.706	0.445	-0.288	0.012	-0.43	0.152	-0.715	0.586	-0.182	0.081	-0.138	-0.361	-0.447	0.005	-0.638	-0.25	-0.269	-0.101	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.026	0.006	-0.299	-0.061	-0.427	-0.002	-0.055	0.227	0.087	0.183	-0.226	-0.211	-0.385	-0.281	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.861	-0.029	-0.758	-0.011
1	7912164	TNFRSF9	0.148	-0.391	-0.217	0.177	0.08	-0.003	-0.335	-0.062	-0.706	0.445	-0.288	0.012	-0.43	0.152	-0.715	0.586	-0.182	0.081	-0.138	-0.361	-0.447	0.005	-0.638	-0.25	-0.269	-0.101	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.026	0.006	-0.299	-0.061	-0.427	-0.002	-0.055	0.227	0.087	0.183	-0.226	-0.211	-0.385	-0.281	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.861	-0.029	-0.758	-0.011
1	9989253	RBP7	0.007	-0.327	0.56	0.177	0.08	-0.003	-0.335	-0.062	-0.706	0.445	-0.288	0.012	-0.43	-0.365	-0.715	0.518	-0.182	0.081	-0.095	-0.361	-0.442	0.005	-0.638	-0.25	-0.833	-0.1	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.029	0.006	-0.299	-0.061	-0.427	-0.002	-0.055	0.227	0.087	0.237	-0.226	-0.211	-0.385	-0.281	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.566	-0.029	-0.758	-0.011
1	11175304	ANGPTL7	0.007	-0.327	-0.144	0.177	0.08	-0.003	-0.307	-0.062	-0.706	0.445	-0.288	0.021	-0.43	-0.365	-0.715	0.518	-0.163	0.081	0.42	-0.361	-0.442	0.005	-0.638	-0.25	-0.833	-0.1	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.029	0.006	-0.299	-0.043	-0.442	-0.002	-0.055	0.227	0.087	0.237	-0.226	-0.195	-0.385	-0.281	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.566	-0.029	-0.758	-0.011
1	11634240	FBXO2	0.007	-0.327	-0.144	0.177	0.08	-0.003	-0.307	-0.062	-0.706	0.445	-0.288	-0.011	-0.43	-0.365	-0.715	0.518	-0.163	0.081	0.42	-0.361	-0.442	0.005	-0.638	-0.25	-0.833	-0.1	-0.215	-0.007	0.015	0.234	0.031	-0.021	0.08	0.185	0.016	-0.208	-0.029	0.006	-0.299	-0.043	-0.442	-0.002	-0.055	0.227	0.087	0.237	-0.226	-0.195	-0.385	-0.281	-0.137	0.012	-0.081	-0.639	-0.025	0.007	-0.566	-0.029	-0.758	-0.011
1	13799938	PDPN	0.035	-0.228	0.251	0.214	0.08	-0.003	-0.335	-0.039	-0.676	0.445	-0.288	-0.011	-0.409	0.189	-0.715	0.082	-0.163	-0.04	0.391	-0.361	-0.468	-0.006	-0.638	-0.251	-0.88	-0.1	-0.215	-0.014	0.015	0.234	0.031	-0.021	0.08	0.185	-0.004	-0.208	-0.029	0.006	-0.299	-0.043	-0.423	-0.002	-0.055	0.227	0.089	0.237	-0.226	-0.195	-0.368	-0.281	-0.124	0.012	-0.081	-0.639	-0.025	0.007	-0.566	-0.029	-0.727	-0.011
1	16204544	C1orf64	0.035	-0.228	0.573	-0.15	0.08	-0.011	-0.298	0.017	-0.676	0.512	-0.265	-0.011	-0.354	-0.336	-0.715	0.121	-0.163	-0.036	0.417	-0.361	-0.427	0.029	-0.638	-0.251	-0.8	-0.1	-0.209	-0.016	0.015	0.234	0.072	-0.021	0.094	0.185	-0.001	-0.208	0.422	0.006	-0.266	-0.043	-0.435	-0.002	-0.055	0.227	0.101	0.237	-0.226	-0.193	-0.368	-0.281	-0.12	0.009	-0.081	-0.613	-0.025	0.007	-0.566	-0.029	-0.727	0.014
