chr1	po1	gene1	chr2	po2	gene2
7	86200000	geneA1	19	30200000	geneB1
19	13800000	geneA2	9	136600000	geneB2
11	120700000	geneA3	15	65000000	geneB3
8	23400000	geneA4	8	29700000	geneB4
4	70400000	geneA5	8	117700000	geneB5
4	79200000	geneA6	17	11200000	geneB6
7	59100000	geneA7	7	28000000	geneB7
13	77800000	geneA8	18	64900000	geneB8
19	30200000	geneA9	4	79200000	geneB9
8	131500000	geneA10	1	94500000	geneB10
19	37100000	geneA11	6	160900000	geneB11
8	2200000	geneA12	6	113900000	geneB12
18	10900000	geneA13	1	171200000	geneB13
3	193800000	geneA14	14	102200000	geneB14
12	56300000	geneA15	14	84000000	geneB15
1	107000000	geneA16	11	48800000	geneB16
16	65200000	geneA17	19	16100000	geneB17
16	87200000	geneA18	14	34100000	geneB18
17	23200000	geneA19	10	46100000	geneB19
15	41400000	geneA20	2	149600000	geneB20
6	0	geneA21	4	18500000	geneB21
5	113100000	geneA22	3	36500000	geneB22
19	47800000	geneA23	18	54400000	geneB23
14	19100000	geneA24	13	103700000	geneB24
11	0	geneA25	11	52900000	geneB25
14	84000000	geneA26	8	110600000	geneB26
11	101600000	geneA27	4	15300000	geneB27
12	102400000	geneA28	8	112200000	geneB28
19	57600000	geneA29	5	66500000	geneB29
10	17300000	geneA30	15	41400000	geneB30
13	34700000	geneA31	18	7200000	geneB31
18	2900000	geneA32	4	84300000	geneB32
7	105900000	geneA33	6	130400000	geneB33
9	36300000	geneA34	18	52000000	geneB34
8	101600000	geneA35	18	41800000	geneB35
16	69800000	geneA36	17	41900000	geneB36
19	57600000	geneA37	11	76700000	geneB37
12	30600000	geneA38	1	178600000	geneB38
19	50000000	geneA39	19	43400000	geneB39
5	97300000	geneA40	12	5300000	geneB40
8	52800000	geneA41	18	35500000	geneB41
4	99100000	geneA42	4	79200000	geneB42
12	14800000	geneA43	11	43400000	geneB43
1	94500000	geneA44	19	61400000	geneB44
10	99400000	geneA45	9	18500000	geneB45
10	92900000	geneA46	11	52900000	geneB46
3	150400000	geneA47	2	159600000	geneB47
15	61500000	geneA48	3	150400000	geneB48
18	52000000	geneA49	6	51100000	geneB49
12	74100000	geneA50	2	136600000	geneB50
13	97000000	geneA51	16	6300000	geneB51
13	77800000	geneA52	17	61600000	geneB52
3	74200000	geneA53	16	85600000	geneB53
18	7200000	geneA54	12	107500000	geneB54
12	85100000	geneA55	2	73900000	geneB55
16	34400000	geneA56	5	159900000	geneB56
11	2800000	geneA57	16	0	geneB57
13	27800000	geneA58	5	109600000	geneB58
8	19100000	geneA59	16	87200000	geneB59
13	77800000	geneA60	13	52200000	geneB60
8	136500000	geneA61	12	26300000	geneB61
15	76100000	geneA62	9	125800000	geneB62
19	16100000	geneA63	18	10900000	geneB63
16	78200000	geneA64	4	182600000	geneB64
10	89600000	geneA65	1	197500000	geneB65
3	131500000	geneA66	19	57600000	geneB66
5	135400000	geneA67	17	47600000	geneB67
4	120600000	geneA68	2	189100000	geneB68
4	79200000	geneA69	13	39500000	geneB69
2	132200000	geneA70	8	112200000	geneB70
16	54500000	geneA71	1	60900000	geneB71
1	51300000	geneA72	7	152200000	geneB72
19	61400000	geneA73	12	112800000	geneB73
3	74200000	geneA74	12	87500000	geneB74
13	67200000	geneA75	14	13600000	geneB75
6	23500000	geneA76	4	102500000	geneB76
9	122000000	geneA77	8	38500000	geneB77
10	28300000	geneA78	8	112200000	geneB78
6	155600000	geneA79	2	91000000	geneB79
7	123600000	geneA80	13	48900000	geneB80
18	52000000	geneA81	1	197500000	geneB81
7	71800000	geneA82	18	66900000	geneB82
6	145700000	geneA83	12	74100000	geneB83
9	132800000	geneA84	11	112800000	geneB84
6	33600000	geneA85	17	28800000	geneB85
11	67100000	geneA86	4	176600000	geneB86
6	4100000	geneA87	7	132400000	geneB87
10	24100000	geneA88	16	69400000	geneB88
17	15900000	geneA89	9	73100000	geneB89
17	22200000	geneA90	1	228800000	geneB90
12	110200000	geneA91	19	0	geneB91
6	118600000	geneA92	10	31400000	geneB92
9	16600000	geneA93	14	100400000	geneB93
8	131500000	geneA94	5	143100000	geneB94
8	38500000	geneA95	17	72200000	geneB95
10	89600000	geneA96	3	54400000	geneB96
16	80500000	geneA97	7	2100000	geneB97
11	115400000	geneA98	10	64800000	geneB98
5	0	geneA99	10	6700000	geneB99
7	46600000	geneA100	11	96700000	geneB100
