chr	start	end	strand	gene
1	190	255	+	thrL
1	337	2799	+	thrA
1	2801	3733	+	thrB
1	3734	5020	+	thrC
1	5234	5530	+	yaaX
1	5683	6459	-	yaaA
1	6529	7959	-	yaaJ
1	8238	9191	+	talB
1	9306	9893	+	mog
1	9928	10494	-	satP
1	10643	11356	-	yaaW
1	11382	11786	-	yaaI
1	12163	14079	+	dnaK
1	14168	15298	+	dnaJ
1	16751	16960	-	mokC
1	17489	18655	+	nhaA
1	18715	19620	+	nhaR
1	20815	21078	-	rpsT
1	21181	21399	+	yaaY
1	21407	22348	+	ribF
1	22391	25207	+	ileS
1	25207	25701	+	lspA
1	25826	26275	+	fkpB
1	26277	27227	+	ispH
1	27293	28207	+	rihC
1	28374	29195	+	dapB
1	29651	30799	+	carA
1	30817	34038	+	carB
1	34300	34695	+	caiF
1	34781	35371	-	caiE
1	35377	36162	-	caiD
1	36271	37824	-	caiC
1	37898	39115	-	caiB
1	39244	40386	-	caiA
1	40417	41931	-	caiT
1	42403	43173	+	fixA
1	43188	44129	+	fixB
1	44180	45466	+	fixC
1	45463	45750	+	fixX
1	45807	47138	+	yaaU
1	47246	47776	+	kefF
1	47769	49631	+	kefC
1	49712	50302	+	folA
1	50380	51222	-	apaH
1	51229	51606	-	apaG
1	51609	52430	-	rsmA
1	52427	53416	-	pdxA
1	53416	54702	-	surA
1	54755	57109	-	lptD
1	57364	58179	+	djlA
1	59687	60346	-	rluA
1	60358	63264	-	rapA
1	63429	65780	-	polB
1	65855	66550	-	araD
1	66750	68252	-	araA
1	68263	69963	-	araB
1	71266	72030	+	yabI
1	72144	72842	-	thiQ
1	72826	74436	-	thiP
1	74412	75395	-	thiB
1	75559	77214	-	sgrR
1	77303	77434	+	sgrT
1	77536	78714	+	setA
1	78763	79368	-	leuD
1	79379	80779	-	leuC
1	80782	81873	-	leuB
1	81873	83444	-	leuA
1	83537	83623	-	leuL
1	84283	85227	+	leuO
1	85545	87269	+	ilvI
1	87272	87763	+	ilvH
1	87943	88947	+	cra
1	89549	90007	+	mraZ
1	90009	90950	+	rsmH
