chr	start	end	value
3	120500000	118800000	122
12	112800000	78700000	153
1	43900000	157300000	168
10	98000000	74600000	161
6	152600000	36800000	48
16	21700000	20500000	15
4	45600000	59200000	115
6	15500000	2300000	71
5	139000000	82800000	135
18	59800000	0	11
9	36300000	38000000	21
10	20500000	102000000	183
4	50700000	182600000	243
16	51200000	56700000	143
6	98700000	45200000	16
10	94200000	61200000	148
5	130400000	8200000	36
6	118600000	70000000	114
3	102500000	101500000	112
15	18400000	76100000	187
17	3600000	23200000	100
1	46500000	163800000	174
6	75900000	4100000	70
11	16100000	115400000	169
1	184000000	12600000	92
10	46100000	3800000	35
7	105900000	137300000	235
9	18500000	79300000	148
4	172200000	76500000	144
6	15500000	145700000	182
4	172200000	23100000	36
3	14700000	102500000	113
6	2300000	40600000	47
15	3500000	55800000	157
6	26100000	13500000	63
7	19500000	15200000	47
9	2200000	95600000	164
2	225800000	27700000	65
5	159900000	176500000	245
6	11200000	130400000	167
15	86900000	92100000	198
18	31000000	15400000	2
5	81300000	76400000	130
7	152200000	97900000	157
3	89400000	177300000	201
9	132500000	86100000	155
13	98100000	48900000	135
19	26700000	30200000	107
7	97900000	114400000	213
11	130300000	70700000	124
9	28100000	9000000	63
17	22100000	72200000	188
12	128700000	47400000	117
11	59700000	70700000	124
9	28100000	9000000	63
13	45900000	8300000	5
16	27600000	69800000	162
12	94800000	53100000	119
7	120900000	59100000	99
11	16100000	43400000	5
10	40300000	82000000	167
2	230700000	4300000	71
16	56700000	21700000	14
15	64900000	92100000	198
3	172500000	156300000	190
16	78200000	69400000	161
19	43400000	43000000	118
11	48800000	96700000	157
10	99400000	34500000	6
8	38500000	136500000	181
11	43400000	26000000	32
15	57100000	83000000	189
13	76000000	46200000	134
17	35600000	0	26
5	58900000	18500000	33
10	104900000	38800000	2
10	64800000	103000000	184
11	12600000	102400000	162
11	27200000	96700000	157
6	70000000	160900000	193
9	32800000	28100000	47
14	103000000	52300000	161
15	57100000	86900000	194
16	51200000	54500000	114
6	36800000	7000000	69
11	36400000	0	42
12	63400000	110200000	176
1	148000000	51300000	81
3	14700000	140400000	166
1	7100000	171200000	187
7	120900000	53900000	5
16	0	45500000	108
16	51200000	20500000	15
7	53900000	59100000	99
18	57100000	54400000	154
6	63400000	36800000	48
14	90500000	69300000	178
8	136500000	39500000	7
12	102400000	87500000	155
3	123400000	54400000	33
