chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A	TCGA.A2.A0ET.01A	TCGA.A8.A06N.01A	TCGA.A8.A06Y.01A	TCGA.A8.A06Z.01A	TCGA.A8.A081.01A	TCGA.A8.A083.01A	TCGA.A8.A08J.01A	TCGA.A8.A09X.01A	TCGA.AN.A04D.01A	TCGA.AN.A0FJ.01A	TCGA.AN.A0FV.01A	TCGA.AN.A0FZ.01A	TCGA.AO.A0J2.01A	TCGA.AO.A0J3.01A	TCGA.AO.A0J6.01A	TCGA.AO.A0JC.01A	TCGA.AO.A0JI.01A	TCGA.AO.A0JL.01A	TCGA.AO.A124.01A	TCGA.AO.A125.01A	TCGA.AO.A12B.01A	TCGA.AO.A12D.01A	TCGA.AO.A12H.01A	TCGA.AQ.A04L.01B	TCGA.AR.A0TP.01A	TCGA.AR.A0TR.01A	TCGA.AR.A0TV.01A	TCGA.AR.A1AI.01A	TCGA.AR.A1AS.01A	TCGA.B6.A0I2.01A	TCGA.B6.A0IA.01A	TCGA.B6.A0IC.01A	TCGA.B6.A0RL.01A	TCGA.B6.A0RM.01A	TCGA.B6.A0RS.01A	TCGA.B6.A0X4.01A	TCGA.B6.A0X5.01A	TCGA.BH.A0DL.01A	TCGA.BH.A0E0.01A	TCGA.BH.A0EE.01A	TCGA.BH.A0HW.01A	TCGA.BH.A18N.01A	TCGA.C8.A12L.01A	TCGA.C8.A12M.01A	TCGA.C8.A12P.01A	TCGA.C8.A12U.01A	TCGA.C8.A133.01A	TCGA.D8.A13Y.01A	TCGA.D8.A13Z.01A	TCGA.E2.A14Y.01A	TCGA.E2.A158.01A	TCGA.E2.A15K.06A	TCGA.E2.A15R.01A	TCGA.E2.A1B0.01A
1	939246	ISG15	-3.618	-2.286	-0.998	0.821	-0.774	-0.111	0.89	2.174	1.292	0.706	0.082	2.351	2.032	-0.218	-2.145	-1.499	0.442	-0.183	1.484	0.766	0.864	-0.166	0.2	-1.367	0.314	0.151	2.088	0.201	1.124	-1.231	-2.36	-0.29	1.82	-0.047	-1.669	0.393	0.982	0.185	0.627	-1.651	-0.511	0.7	-1.338	1.221	-2.762	2.311	1.292	-0.167	-1.524	-2.072	1.699	2.284	2.442	-1.909	2.251	2.006	-2.34	-0.937	-0.866	-0.081
1	2533140	MMEL1	-2.832	-3.093	1.037	-2.182	0.007	-1.764	-1.806	-0.521	-1.275	0.856	0.967	0.125	0.264	0.61	-0.653	-2.212	0.372	1.498	-0.906	-2.093	-0.606	-2.234	0.816	-0.206	-1.063	1.382	-0.325	-0.367	0.047	0.007	-1.8	0.399	0.768	-0.591	0.653	-1.653	0.844	0.078	-0.958	0.636	-1.126	-1.183	-1.718	-1.063	-1.474	1.47	0.494	-0.052	-2.759	-2.965	-0.615	0.626	0.522	-2.362	-0.804	-1.981	-2.36	1.499	0.873	-0.297
1	6446321	TNFRSF25	2.559	-0.66	-0.705	1.449	0.57	0.513	0.168	0.789	-1.153	-1.262	0.262	-0.261	-1.58	-0.332	0.391	2.397	-0.781	2.706	0.999	1.424	0.018	3.632	-1.452	1.775	0.306	0.9	0.046	0.76	0.004	-0.238	-0.402	-0.245	-0.345	1.472	-0.781	1.507	-2.253	0.053	0.579	-1.612	-0.656	0.301	-0.431	2.342	1.411	1.643	-0.888	-0.702	-0.433	0.628	-1.119	2.843	-1.84	1.298	0.554	0.945	0.803	-0.196	-1.531	-0.076
1	7832974	UTS2	1.708	-0.726	-0.102	2.02	-0.927	4.554	0.151	-1.517	-1.036	-0.448	-0.363	-1.321	-0.274	0.964	0.167	-0.758	-0.76	-1.121	0.544	0.927	0.525	2.302	1.428	0.295	-1.213	-1.573	-0.804	3.575	1.286	-0.793	-1.206	-0.363	-0.049	0.997	-2.082	1.54	-0.568	0.392	-1.105	-0.42	-0.491	0.011	-0.166	0.603	0.541	-0.281	1.329	-1.243	2.657	-0.04	3.255	3.474	-0.498	1.342	-0.54	0.635	-0.079	0.325	-0.573	-0.444
1	7912164	TNFRSF9	-0.189	-0.768	1.02	2.351	0.241	1.921	-0.2	-1.284	-1.902	-1.592	0.808	-0.955	-0.066	1.299	-1.339	0.908	-1.086	-1.317	0.55	-1.503	1.523	3.522	-0.916	-0.496	-0.15	-1.624	-1.172	0.998	-1.807	-0.163	-1.447	-0.699	1.259	1.2	-2.183	2.803	-0.256	-0.381	-1.081	-0.956	1.239	-1.396	-0.52	2.714	0.528	0.373	-1.006	-0.998	-0.587	-0.098	-0.011	1.255	-1.175	-2.074	1.624	-0.777	-0.909	-0.944	-1.479	0.165
1	9989253	RBP7	0.817	-0.463	-1.472	-2.051	0.458	-1.289	-0.708	-0.983	0.729	-0.467	0.29	0.06	-0.71	0.293	1.038	0.928	-1.853	1.169	-0.731	-0.203	-2.972	0.454	0.419	0.168	0.909	0.306	1.415	-1.299	-1.232	1.461	-0.277	-0.126	1.263	-1.263	-1.867	-2.067	1.828	0.235	-1.818	-1.827	-1.553	-1.112	0.4	-2.015	-2.241	-3.071	0.71	0.235	-2.358	-0.319	-1.41	1.116	-0.554	0.929	-0.882	0.105	-0.466	-1.363	0.279	-0.577
1	11175304	ANGPTL7	-1.155	0.463	-0.544	-0.073	-0.215	-1.346	-0.357	0.158	-1.2	-0.296	-0.744	-1.087	-1.376	-0.682	-0.28	-0.147	-1.2	-0.448	-0.29	-0.013	-0.334	0.51	1.51	-0.81	-0.861	-0.167	-0.102	-0.771	-0.671	-0.655	-0.08	-0.14	0.088	-0.211	-0.795	-0.948	-0.814	-0.378	-1.413	0.473	-0.07	-0.624	-0.581	-0.536	0.048	-1.16	-1.226	-0.256	-0.617	-0.435	5.133	-0.887	-0.652	-2.423	-0.422	-0.14	0.378	-1.036	0.853	-1.187
1	11634240	FBXO2	-1.643	-2.847	-1.675	1.01	0.503	-1.738	1.951	-0.093	-0.697	1.958	-2.867	0.234	-2.207	-2.563	-0.903	1.421	0.126	-0.853	0.572	1.504	0.64	0.476	1.224	1.162	-1.128	0.506	1.179	-0.993	2.814	2.346	-0.047	-0.421	-0.143	-0.051	-0.594	2.189	0.611	1.718	-0.262	0.344	-2.224	2.97	2.605	1.343	1.139	-2.356	0.358	0.767	1.194	-3.506	0.449	0.816	2.675	1.535	-0.525	1.457	-0.546	-0.451	0.114	-0.327
1	13799938	PDPN	-2.295	-2.217	1.196	-2.568	-0.89	-0.4	-2.52	-3.034	-2.03	-1.679	-1.771	-3.076	0.825	-0.314	-2.172	-1.957	0.681	-1.4	-0.596	-3.665	-1.265	-0.036	-1.732	-1.492	-2.042	-3.335	-3.747	0.722	-1.312	1.012	-2.034	-3.457	-1.501	-1.605	0.177	-1.997	-0.736	-3.262	-3.244	-0.003	0.593	-2.025	-1.341	0.379	-2.881	-1.921	-0.244	2.372	0.2	-2.626	0.876	-2.69	-1.572	-1.888	1.048	-0.983	-2.212	-2.482	0.253	0.852
1	16204544	C1orf64	-6.666	-5.936	-3.403	-5.901	-4.101	-1.801	-1.858	2.203	-2.364	-0.514	0.955	2.024	1.465	0.934	-5.898	-5.448	-0.197	0.264	-5.343	-0.391	-5.781	0.705	1.745	-5.401	-5.801	0.958	-1.7	-5.389	0.676	-5.373	-6.048	1.575	0.457	-5.714	-3.425	-5.237	-4.905	1.679	1.433	2.366	-0.641	-2.592	0.268	-5.015	-5.011	-5.571	1.804	0.18	-5.794	2.353	-4.137	-4.74	1.951	-5.42	-4.845	-4.974	-5.464	1.39	0.872	1.064
